Text,Sentiment
I absolutely love this product!,positive
This is the worst service I've ever had.,negative
"It's okay, nothing special.",neutral
"Fantastic experience, highly recommend!",positive
"Not good, not bad, just average.",neutral
I am extremely disappointed.,negative
This is the best thing I've bought!,positive
"It's fine, I guess.",neutral
"Terrible, would not recommend.",negative
"Amazing quality, very happy with this.",positive
The product is mediocre at best.,neutral
"I hate this, complete waste of money.",negative
Incredible value for the price!,positive
"Meh, it's okay.",neutral
"Worst experience, never coming back.",negative
I'm thrilled with this purchase!,positive
"It’s alright, nothing to complain about.",neutral
This was a big letdown.,negative
Absolutely fantastic service!,positive
"It's decent, not great but okay.",neutral
